Location,locationName,locationUsage,Inactive,Location_Type,Primary_Address
L-ISU-269-15369,0602C SCI 2 - Science Hall Addition No. 2,Business Asset,0,Laboratory Facilities,0602C Science 2
L-ISU-260-14704,0603 ROSS H - Ross Hall,Work Space; Business Asset,0,Office Facilities,0603 Ross
L-ISU-260-14705,0604 ROSS H - Ross Hall,Business Asset,0,,0604 Ross
L-ISU-260-14706,0604A ROSS H - Ross Hall,Business Asset,0,,0604A Ross
L-ISU-269-15372,0605 SCI 2 - Science Hall Addition No. 2,Work Space; Business Asset,0,Office Facilities,0605 Science 2
L-ISU-456-6904,0606 GILMAN - Gilman Hall,Business Asset,0,Supporting Facilities,0606 Gilman
L-ISU-260-14707,0606 ROSS H - Ross Hall,Business Asset,0,General Use Facilities; Classroom Facilities,0606 Ross
L-ISU-269-15373,0606 SCI 2 - Science Hall Addition No. 2,Business Asset,0,Laboratory Facilities,0606 Science 2
L-ISU-456-6905,0606A GILMAN - Gilman Hall,Business Asset,0,Supporting Facilities,0606A Gilman
L-ISU-442-8547,0608 HOWE - Howe Hall,Business Asset,0,Other,0608 Howe
L-ISU-269-15374,0608 SCI 2 - Science Hall Addition No. 2,Business Asset,0,Special Use Facilities,0608 Science 2
L-ISU-269-15375,0608A SCI 2 - Science Hall Addition No. 2,Business Asset,0,Special Use Facilities,0608A Science 2
L-ISU-269-15376,0608B SCI 2 - Science Hall Addition No. 2,Business Asset,0,Special Use Facilities,0608B Science 2
L-ISU-442-8548,0609 HOWE - Howe Hall,Work Space; Business Asset,0,Office Facilities,0609 Howe
L-ISU-260-14708,0609 ROSS H - Ross Hall,Work Space; Business Asset,0,Office Facilities,0609 Ross
L-ISU-269-15379,0609 SCI 2 - Science Hall Addition No. 2,Business Asset,0,Laboratory Facilities,0609 Science 2
L-ISU-456-6907,0610 GILMAN - Gilman Hall,Business Asset,0,Laboratory Facilities,0610 Gilman
L-ISU-405-10036,0610 LAGOMAR - Lagomarcino Hall,Business Asset,0,Other,0610 Lagomarcino
L-ISU-390-23717,0610 MEM UN - Memorial Union,Business Asset,0,Other,0610 Memorial Union
L-ISU-456-6909,0611 GILMAN - Gilman Hall,Business Asset,0,Classroom Facilities,0611 Gilman
L-ISU-405-10113,0611 LAGOMAR - Lagomarcino Hall,Business Asset,0,Supporting Facilities,0611 Lagomarcino
L-ISU-260-14670,0611 ROSS H - Ross Hall,Business Asset,0,General Use Facilities; Classroom Facilities,0611 Ross
L-ISU-442-8549,0612 HOWE - Howe Hall,Business Asset,0,Other,0612 Howe
L-ISU-260-14632,0612 ROSS H - Ross Hall,Work Space; Business Asset,0,Office Facilities,0612 Ross
L-ISU-269-15380,0612 SCI 2 - Science Hall Addition No. 2,Business Asset,0,Laboratory Facilities,0612 Science 2
L-ISU-405-10114,0613 LAGOMAR - Lagomarcino Hall,Business Asset,0,Supporting Facilities,0613 Lagomarcino
L-ISU-269-15381,0613 SCI 2 - Science Hall Addition No. 2,Business Asset,0,Other,0613 Science 2
L-ISU-269-15382,0614 SCI 2 - Science Hall Addition No. 2,Work Space; Business Asset,0,Office Facilities,0614 Science 2
L-ISU-405-10297,0615 LAGOMAR - Lagomarcino Hall,Business Asset,0,Other,0615 Lagomarcino
L-ISU-390-23716,0615 MEM UN - Memorial Union,Business Asset,0,Other,0615 Memorial Union
L-ISU-260-14633,0615 ROSS H - Ross Hall,Work Space; Business Asset,0,Office Facilities,0615 Ross
L-ISU-269-15383,0615 SCI 2 - Science Hall Addition No. 2,Business Asset,0,Laboratory Facilities,0615 Science 2
L-ISU-405-28340,0615A LAGOMAR - Lagomarcino Hall,Business Asset,0,Other,0615A Lagomarcino
L-ISU-442-8550,0616 HOWE - Howe Hall,Business Asset,0,Other,0616 Howe
L-ISU-269-15384,0616 SCI 2 - Science Hall Addition No. 2,Business Asset,0,Laboratory Facilities,0616 Science 2
L-ISU-260-14634,0617 ROSS H - Ross Hall,Work Space; Business Asset,0,Office Facilities,0617 Ross
L-ISU-442-8551,0618 HOWE - Howe Hall,Business Asset,0,Laboratory Facilities,0618 Howe
L-ISU-260-14635,0618 ROSS H - Ross Hall,Work Space; Business Asset,0,General Use Facilities; Classroom Facilities; Office Facilities,0618 Ross
L-ISU-269-15385,0618 SCI 2 - Science Hall Addition No. 2,Business Asset,0,Laboratory Facilities,0618 Science 2
L-ISU-260-14636,0619 ROSS H - Ross Hall,Work Space; Business Asset,0,Office Facilities,0619 Ross
L-ISU-269-15387,0619 SCI 2 - Science Hall Addition No. 2,Business Asset,0,Laboratory Facilities,0619 Science 2
L-ISU-269-15388,0619A SCI 2 - Science Hall Addition No. 2,Business Asset,0,Laboratory Facilities,0619A Science 2
L-ISU-269-15389,0619B SCI 2 - Science Hall Addition No. 2,Business Asset,0,Laboratory Facilities,0619B Science 2
L-ISU-442-8552,0620 HOWE - Howe Hall,Business Asset,0,Laboratory Facilities,0620 Howe
L-ISU-405-10082,0620 LAGOMAR - Lagomarcino Hall,Business Asset,0,Other,0620 Lagomarcino
L-ISU-269-15392,0620 SCI 2 - Science Hall Addition No. 2,Business Asset,0,Laboratory Facilities,0620 Science 2
L-ISU-442-8553,0620A HOWE - Howe Hall,Business Asset,0,Laboratory Facilities,0620A Howe
L-ISU-269-15393,0620A SCI 2 - Science Hall Addition No. 2,Business Asset,0,Laboratory Facilities,0620A Science 2
L-ISU-442-8554,0620B HOWE - Howe Hall,Business Asset,0,Laboratory Facilities,0620B Howe
L-ISU-442-22069,0620E HOWE - Howe Hall,Business Asset,0,Classroom Facilities,0620E Howe
